1,11,11,11,11,11,11,11,11,11,11,11,11,43,42,11,11,11,11,11,11,11,11,11,11,11,11,0
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
3,-1,34,20,20,35,-1,34,20,20,20,35,-1,25,24,-1,34,21,21,21,35,-1,34,21,21,35,-1,2
3,-1,24,-1,-1,25,-1,24,-1,-1,-1,25,-1,25,24,-1,24,-1,-1,-1,25,-1,24,-1,-1,25,-1,2
3,-1,36,14,14,37,-1,36,14,14,14,37,-1,27,26,-1,36,15,15,15,37,-1,36,15,15,37,-1,2
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
3,-1,34,21,21,35,-1,34,35,-1,34,21,21,21,21,21,21,35,-1,34,35,-1,34,21,21,35,-1,2
3,-1,36,14,14,37,-1,24,25,-1,36,14,14,38,39,14,14,37,-1,24,25,-1,36,14,14,37,-1,2
3,-1,-1,-1,-1,-1,-1,24,25,-1,-1,-1,-1,24,25,-1,-1,-1,-1,24,25,-1,-1,-1,-1,-1,-1,2
5,12,12,12,12,22,-1,24,27,21,21,35,-1,24,25,-1,34,21,21,26,25,-1,23,12,12,12,12,4
-1,-1,-1,-1,-1,3,-1,24,39,14,14,37,-1,36,37,-1,36,14,14,22,25,-1,2,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,3,-1,24,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,25,-1,2,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,3,-1,24,25,-1,29,12,33,44,44,32,12,28,-1,24,25,-1,2,-1,-1,-1,-1,-1
10,10,10,10,10,26,-1,36,37,-1,2,44,44,44,44,44,44,3,-1,36,37,-1,27,11,11,11,11,11
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,44,44,44,44,44,44,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,12,12,12,12,22,-1,34,35,-1,2,44,44,44,44,44,44,3,-1,34,35,-1,23,12,12,12,12,12
-1,-1,-1,-1,-1,3,-1,24,25,-1,31,11,11,11,11,11,11,30,-1,24,25,-1,2,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,3,-1,24,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,25,-1,2,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,3,-1,24,25,-1,34,21,21,21,21,21,21,35,-1,24,25,-1,2,-1,-1,-1,-1,-1
1,11,11,11,11,26,-1,36,37,-1,36,14,14,38,39,14,14,37,-1,36,37,-1,27,11,11,11,11,0
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
3,-1,34,21,21,35,-1,34,21,21,21,35,-1,24,25,-1,34,20,20,20,35,-1,34,21,21,35,-1,2
3,-1,36,14,38,25,-1,36,14,14,14,37,-1,36,37,-1,36,14,14,15,37,-1,24,39,14,37,-1,2
3,-1,-1,-1,24,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24,25,-1,-1,-1,2
7,14,22,-1,24,25,-1,34,35,-1,34,21,21,21,21,21,21,35,-1,34,35,-1,24,25,-1,23,15,6
9,21,26,-1,36,37,-1,24,25,-1,36,14,14,38,39,14,14,37,-1,24,25,-1,36,37,-1,27,21,8
3,-1,-1,-1,-1,-1,-1,24,25,-1,-1,-1,-1,24,25,-1,-1,-1,-1,24,25,-1,-1,-1,-1,-1,-1,2
3,-1,34,20,20,21,21,26,27,21,21,35,-1,24,25,-1,34,21,21,26,27,21,21,21,21,35,-1,2
3,-1,36,14,14,14,14,14,14,14,14,37,-1,36,37,-1,36,14,14,14,14,14,14,14,14,37,-1,2
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
5,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,4
